Student ID,Student Name,Age,Gender,State/City,School/Institution Name,Education Level,Stream/Field of Study,Marks Percentage,No. of Students in Class,Scholarship Status
SID44,Aditya,8.0,Male,Bangalore,School_9,Primary,,55.6,29,Yes
SID45,Aditya,16.0,Others,Chennai,School_75,Postgraduate,Medical,86.27,57,No
SID46,Aryan,11.0,Female,Kolkata,School_68,Secondary,,41.47,33,No
SID47,Rohan,9.0,Female,Hyderabad,School_2,Higher Secondary,Science,36.88,39,No
SID48,Pooja,24.0,Others,Kolkata,School_40,Primary,,60.16,42,Yes
SID49,Simran,12.0,Others,Pune,School_16,Secondary,,57.88,54,No
SID50,Rohan,10.0,Female,Jaipur,School_85,Undergraduate,Engineering,72.66,45,Yes
SID51,Aarav,11.0,Male,Lucknow,School_38,Secondary,,38.79,47,Yes
SID52,Simran,13.0,Female,Chennai,School_48,Postgraduate,Science,38.41,20,No
SID53,Pooja,9.0,Female,Chennai,School_61,Undergraduate,Commerce,92.9,26,Yes
SID54,Ishita,15.0,Male,Delhi,School_89,Undergraduate,Engineering,85.78,35,No
SID55,Aryan,17.0,Male,Pune,School_20,Undergraduate,Commerce,46.71,48,Yes
SID56,Priya,6.0,Others,Lucknow,School_63,Undergraduate,Science,55.62,56,Yes
SID57,Aryan,20.0,Others,Jaipur,School_91,Higher Secondary,Science,36.15,55,Yes
SID58,Karan,,Female,Bangalore,School_38,Postgraduate,Medical,50.77,57,No
SID59,Ishita,15.0,Female,Ahmedabad,School_44,Primary,,62.66,52,Yes
SID60,Ishita,13.0,Male,Chennai,School_42,Higher Secondary,Arts,71.33,41,Noo
SID61,Aarav,19.0,Others,Ahmedabad,School_40,Primary,,63.38,57,Yes
SID62,Pooja,11.0,Male,Ahmedabad,School_34,Undergraduate,Commerce,40.2,31,Yes
SID63,Ishita,,Others,Bangalore,School_94,Higher Secondary,Arts,100.0,46,No
SID64,Karan,13.0,Male,Hyderabad,School_16,Undergraduate,Science,74.17,37,Yes
SID65,Aryan,14.0,Others,Kolkata,School_1,Undergraduate,Medical,91.71,53,Yes
SID66,Aarav,,Male,Hyderabad,School_77,Undergraduate,Science,93.03,26,No
SID67,Simran,18.0,Others,Mumbai,School_79,Postgraduate,Medical,96.32,57,Yes
SID68,Aarav,14.0,Male,Jaipur,School_52,Postgraduate,Science,62.91,49,Yes
SID69,Aditya,23.0,Others,Kolkata,School_47,Primary,,93.1,57,Yes
SID70,Ishita,8.0,Male,Delhi,School_43,Undergraduate,Commerce,61.05,47,No
SID71,Karan,8.0,Female,Hyderabad,School_97,Postgraduate,Science,89.43,52,No
SID72,Aditya,22.0,Male,Delhi,School_72,Primary,,41.45,56,Yes
SID73,Aditya,,Male,Lucknow,School_60,Postgraduate,Science,55.85,51,Yes
SID74,Simran,8.0,Male,Hyderabad,School_56,Postgraduate,Science,91.01,37,Yes
SID75,Aarav,12.0,Others,Mumbai,School_23,Postgraduate,Science,47.73,30,No
SID76,Aditya,9.0,Male,Hyderabad,School_82,Higher Secondary,Science,47.56,30,Yes
SID77,Aditya,20.0,Male,Delhi,School_56,Undergraduate,Arts,88.07,41,Yes
SID78,Aditya,12.0,Others,Hyderabad,School_61,Undergraduate,Medical,96.58,28,No
SID79,Pooja,,Others,Kolkata,School_75,Undergraduate,Arts,57.67,37,Yes
SID80,Karan,15.0,Others,Chennai,School_12,Secondary,,39.07,59,Yes
SID81,Aryan,9.0,Male,Pune,School_75,Postgraduate,Commerce,51.23,24,Yes
SID82,Aditya,15.0,Male,Bangalore,School_9,Higher Secondary,Arts,77.51,37,No
SID83,Aditya,16.0,Male,Chennai,School_99,Higher Secondary,Arts,99.32,51,Yes
SID84,Karan,12.0,Male,Hyderabad,School_69,Higher Secondary,Commerce,46.52,37,Yes
SID85,Priya,6.0,Female,Lucknow,School_52,Postgraduate,Medical,37.73,38,Yes
SID86,Aditya,13.0,Female,Bangalore,School_87,Primary,,70.11,21,Noo
SID87,Simran,10.0,Female,Delhi,School_76,Undergraduate,Engineering,78.57,47,No
SID88,Ishita,23.0,Others,Ahmedabad,School_5,Undergraduate,Medical,62.1,59,No
SID89,Aarav,18.0,Others,Chennai,School_62,Undergraduate,Engineering,46.43,54,Yes
SID90,Aditya,12.0,Female,Pune,School_84,Postgraduate,Science,77.2,39,No
SID91,Karan,10.0,Male,Jaipur,School_49,Primary,,47.61,48,No
SID92,Aarav,7.0,Female,Ahmedabad,School_12,Postgraduate,Medical,38.47,45,Yes
SID93,Aryan,16.0,Others,Jaipur,School_91,Higher Secondary,Commerce,35.83,60,No
SID94,Simran,13.0,Others,Hyderabad,School_76,Primary,,69.61,35,No
SID95,Aarav,11.0,Others,Chennai,School_50,Secondary,,67.6,41,No
SID96,Aryan,23.0,Others,Mumbai,School_30,Undergraduate,Engineering,48.62,34,Yes
SID97,Neha,14.0,Others,Mumbai,School_98,Primary,,65.73,43,No
SID98,Simran,17.0,Female,Pune,School_46,Higher Secondary,Arts,,60,No
SID99,Aarav,20.0,Female,Jaipur,School_3,Secondary,,75.19,60,Yes
SID100,Rohan,,Others,Chennai,School_20,Postgraduate,Commerce,94.4,45,No
SID101,Pooja,,Others,Kolkata,School_23,Undergraduate,Arts,75.46,43,No
SID102,Pooja,15.0,Male,Bangalore,School_17,Postgraduate,Medical,96.21,25,No
SID103,Aryan,12.0,Male,Chennai,School_71,Higher Secondary,Engineering,57.31,29,No
SID104,Pooja,13.0,Others,Pune,School_80,Secondary,,84.46,40,No
SID105,Rohan,7.0,Male,Hyderabad,School_53,Undergraduate,Science,99.96,44,No
SID106,Ishita,24.0,Male,Mumbai,School_77,Postgraduate,Arts,73.35,22,Yes
SID107,Pooja,23.0,Others,Delhi,School_82,Postgraduate,Commerce,96.03,46,Yes
SID108,Aryan,24.0,Male,Delhi,School_35,Primary,,66.71,49,Yes
SID109,Priya,15.0,Others,Delhi,School_2,Primary,,99.63,44,No
SID110,Simran,14.0,Male,Chennai,School_62,Primary,,86.46,50,No
SID111,Neha,15.0,Others,Chennai,School_80,Postgraduate,Engineering,95.14,48,Yes
SID112,Pooja,24.0,Others,Pune,School_23,Primary,,,32,No
SID113,Pooja,12.0,Male,Jaipur,School_46,Postgraduate,Arts,93.83,20,Yes
SID114,Karan,23.0,Others,Jaipur,School_21,Secondary,,77.29,60,Yes
SID115,Neha,6.0,Male,Delhi,School_8,Undergraduate,Medical,43.54,25,No
SID116,Simran,20.0,Female,Kolkata,School_92,Postgraduate,Arts,98.88,32,Yes
SID117,Aditya,9.0,Male,Pune,School_100,Primary,,62.72,38,No
SID118,Simran,10.0,Female,Mumbai,School_92,Undergraduate,Commerce,40.24,23,Yes
SID119,Karan,14.0,Others,Bangalore,School_92,Secondary,,67.1,54,No
SID120,Karan,19.0,Female,Bangalore,School_80,Higher Secondary,Commerce,58.0,36,Yes
SID121,Aarav,18.0,Female,Chennai,School_22,Primary,,52.93,48,Yes
SID122,Karan,7.0,Others,Hyderabad,School_46,Higher Secondary,Arts,63.1,24,Yes
SID123,Aryan,17.0,Female,Delhi,School_67,Postgraduate,Science,36.48,25,Yes
SID124,Aditya,15.0,Female,Delhi,School_54,Secondary,,46.11,44,Yes
SID125,Simran,11.0,Male,Ahmedabad,School_30,Postgraduate,Arts,46.2,34,Yes
SID126,Priya,20.0,Female,Hyderabad,School_9,Undergraduate,Science,81.86,35,No
SID127,Karan,12.0,Others,Pune,School_94,Postgraduate,Arts,97.23,55,Yes
SID128,Aryan,20.0,Male,Hyderabad,School_34,Undergraduate,Science,59.6,20,Yes
SID129,Aryan,17.0,Female,Lucknow,School_38,Secondary,,42.75,58,No
SID130,Simran,18.0,Male,Jaipur,School_43,Postgraduate,Commerce,85.52,25,Yes
SID131,Neha,9.0,Female,Hyderabad,School_10,Postgraduate,Engineering,47.92,57,No
SID132,Aarav,24.0,Others,Kolkata,School_28,Undergraduate,Engineering,96.48,39,Yes
SID133,Aarav,19.0,Male,Hyderabad,School_49,Primary,,77.15,41,Yes
SID134,Neha,18.0,Others,Kolkata,School_15,Postgraduate,Commerce,56.97,21,Yes
SID135,Priya,23.0,Female,Kolkata,School_61,Primary,,36.78,41,No
SID136,Neha,8.0,Female,Bangalore,School_85,Secondary,,89.36,20,No
SID137,Aditya,11.0,Others,Chennai,School_81,Higher Secondary,Medical,82.65,42,Yes
SID138,Pooja,23.0,Others,Bangalore,School_45,Postgraduate,Commerce,80.0,55,No
SID139,Pooja,9.0,Others,Jaipur,School_79,Primary,,68.83,39,No
SID140,Rohan,23.0,Others,Kolkata,School_27,Primary,,78.63,28,No
SID141,Rohan,24.0,Male,Chennai,School_13,Undergraduate,Commerce,75.6,28,Yes
SID142,Pooja,20.0,Male,Pune,School_23,Postgraduate,Engineering,84.93,46,No
SID143,Priya,15.0,Female,Lucknow,School_77,Primary,,63.7,49,No
SID144,Aditya,9.0,Others,Ahmedabad,School_36,Secondary,,56.38,45,Yes
SID145,Ishita,15.0,Male,Bangalore,School_99,Undergraduate,Science,95.08,48,No
SID146,Aditya,14.0,Male,Ahmedabad,School_78,Primary,,53.55,54,No
SID147,Simran,7.0,Male,Lucknow,School_21,Primary,,72.96,46,Yes
SID148,Pooja,18.0,Female,Kolkata,School_92,Primary,,97.94,24,Yes
SID149,Aarav,7.0,Female,Mumbai,School_83,Undergraduate,Arts,95.66,46,Yes
SID150,Karan,13.0,Female,Mumbai,School_33,Primary,,50.44,23,No
SID151,Rohan,23.0,Female,Mumbai,School_36,Primary,,64.94,31,Yes
SID152,Ishita,15.0,Male,Mumbai,School_17,Postgraduate,Science,41.7,59,No
SID153,Aditya,16.0,Others,Pune,School_88,Higher Secondary,Science,43.01,43,Yes
SID154,Ishita,18.0,Male,Pune,School_6,Undergraduate,Science,65.56,50,Yes
SID155,Priya,,Female,Jaipur,School_38,Secondary,,53.46,40,Yes
SID156,Aarav,10.0,Male,Chennai,School_8,Undergraduate,Science,97.99,49,No
SID157,Neha,24.0,Female,Jaipur,School_14,Undergraduate,Engineering,41.05,54,No
SID158,Neha,16.0,Male,Jaipur,School_77,Higher Secondary,Engineering,80.67,31,Yes
SID159,Pooja,22.0,Male,Lucknow,School_19,Higher Secondary,Science,95.08,58,No
SID160,Aditya,12.0,Female,Kolkata,School_40,Secondary,,,33,No
SID161,Karan,22.0,Male,Ahmedabad,School_25,Postgraduate,Commerce,84.86,27,Yes
SID162,Aarav,18.0,Others,Mumbai,School_36,Undergraduate,Engineering,62.45,59,No
SID163,Karan,19.0,Male,Ahmedabad,School_76,Primary,,88.65,45,No
SID164,Rohan,23.0,Female,Lucknow,School_95,Higher Secondary,Science,48.89,43,Yes
SID165,Aryan,6.0,Others,Kolkata,School_9,Primary,,97.1,49,Yes
SID166,Karan,18.0,Male,Chennai,School_33,Higher Secondary,Science,36.69,57,Yes
SID167,Priya,19.0,Male,Ahmedabad,School_55,Higher Secondary,Science,44.75,31,No
SID168,Rohan,6.0,Female,Mumbai,School_9,Postgraduate,Arts,91.51,20,Yes
SID169,Aryan,15.0,Male,Delhi,School_98,Undergraduate,Engineering,73.25,30,Yes
SID170,Aryan,14.0,Others,Lucknow,School_6,Primary,,57.56,48,Yes
SID171,Aryan,21.0,Others,Ahmedabad,School_34,Secondary,,42.47,36,Yes
SID172,Aditya,21.0,Others,Mumbai,School_89,Postgraduate,Arts,74.27,39,No
SID173,Priya,10.0,Others,Delhi,School_35,Postgraduate,Medical,95.9,51,No
SID174,Priya,10.0,Female,Bangalore,School_11,Undergraduate,Medical,36.06,45,Yes
SID175,Aryan,10.0,Male,Bangalore,School_77,Secondary,,49.45,46,No
SID176,Rohan,19.0,Others,Chennai,School_74,Secondary,,96.54,24,Yes
SID177,Priya,17.0,Others,Lucknow,School_61,Secondary,,57.78,42,Yes
SID178,Priya,17.0,Male,Chennai,School_57,Undergraduate,Engineering,37.98,58,No
SID179,Ishita,16.0,Female,Pune,School_40,Higher Secondary,Medical,75.67,34,Yes
SID180,Neha,13.0,Others,Ahmedabad,School_62,Secondary,,60.07,28,Yes
SID181,Aditya,22.0,Male,Bangalore,School_79,Primary,,90.99,57,Yes
SID182,Aryan,24.0,Female,Mumbai,School_51,Postgraduate,Arts,83.69,36,Yes
SID183,Aarav,15.0,Others,Chennai,School_86,Postgraduate,Arts,74.13,48,Yes
SID184,Pooja,8.0,Male,Ahmedabad,School_13,Secondary,,87.34,60,Yes
SID185,Ishita,17.0,Male,Ahmedabad,School_93,Higher Secondary,Science,54.7,47,Yes
SID186,Ishita,24.0,Male,Mumbai,School_2,Postgraduate,Arts,55.41,51,Yes
SID187,Simran,7.0,Male,Ahmedabad,School_26,Higher Secondary,Commerce,61.09,41,No
SID188,Aryan,10.0,Others,Chennai,School_54,Secondary,,80.77,46,Yes
SID189,Priya,19.0,Others,Kolkata,School_92,Postgraduate,Science,81.24,28,Yes
SID190,Simran,14.0,Others,Chennai,School_88,Postgraduate,Arts,93.42,49,No
SID191,Rohan,19.0,Male,Mumbai,School_12,Secondary,,45.66,41,Yes
SID192,Ishita,10.0,Female,Hyderabad,School_72,Postgraduate,Engineering,58.66,58,Yes
SID193,Priya,18.0,Others,Lucknow,School_9,Postgraduate,Engineering,54.8,44,No
SID194,Neha,11.0,Female,Pune,School_75,Postgraduate,Commerce,77.04,45,No
SID195,Priya,12.0,Male,Pune,School_48,Higher Secondary,Medical,96.33,27,No
SID196,Aarav,19.0,Female,Pune,School_46,Higher Secondary,Medical,39.29,32,Yes
SID197,Karan,23.0,Female,Chennai,School_93,Secondary,,63.01,41,Yes
SID198,Aarav,17.0,Female,Lucknow,School_47,Postgraduate,Engineering,66.06,44,Yes
SID199,Neha,7.0,Female,Jaipur,School_43,Undergraduate,Engineering,67.45,25,No
SID200,Neha,12.0,Female,Hyderabad,School_100,Postgraduate,Medical,90.03,39,No
SID201,Simran,10.0,Female,Delhi,School_64,Postgraduate,Engineering,52.75,31,Yes
SID202,Pooja,14.0,Female,Jaipur,School_25,Undergraduate,Arts,97.34,30,Yes
SID203,Priya,9.0,Male,Bangalore,School_17,Undergraduate,Science,60.69,21,No
SID204,Simran,23.0,Male,Chennai,School_63,Primary,,89.25,40,Yes
SID205,Aarav,21.0,Female,Bangalore,School_27,Undergraduate,Engineering,55.08,24,Yes
SID206,Rohan,22.0,Others,Ahmedabad,School_63,Higher Secondary,Medical,54.74,23,No
SID207,Priya,,Male,Lucknow,School_77,Secondary,,74.92,25,Yes
SID208,Priya,14.0,Others,Hyderabad,School_98,Higher Secondary,Science,61.69,55,Yes
SID209,Aditya,6.0,Female,Lucknow,School_85,Postgraduate,Medical,40.21,27,Yes
SID210,Aryan,16.0,Male,Kolkata,School_74,Secondary,,58.33,53,No
SID211,Priya,15.0,Female,Ahmedabad,School_52,Postgraduate,Engineering,51.11,58,No
SID212,Rohan,18.0,Male,Kolkata,School_44,Postgraduate,Commerce,64.27,39,No
SID213,Simran,13.0,Female,Kolkata,School_28,Primary,,36.42,32,Yes
SID214,Karan,6.0,Male,Ahmedabad,School_72,Postgraduate,Arts,44.84,39,No
SID215,Ishita,6.0,Male,Jaipur,School_49,Higher Secondary,Commerce,55.27,48,Yes
SID216,Neha,7.0,Others,Ahmedabad,School_50,Primary,,53.45,47,No
SID217,Simran,18.0,Male,Pune,School_92,Secondary,,72.05,20,Yes
SID218,Simran,22.0,Others,Pune,School_42,Secondary,,57.17,53,No
SID219,Priya,20.0,Others,Hyderabad,School_32,Secondary,,98.43,28,Yes
SID220,Aarav,15.0,Others,Jaipur,School_20,Undergraduate,Engineering,94.33,25,Yes
SID221,Simran,9.0,Female,Jaipur,School_26,Primary,,70.04,27,Yes
SID222,Ishita,21.0,Female,Delhi,School_63,Higher Secondary,Science,91.81,59,No
SID223,Aryan,10.0,Others,Mumbai,School_1,Undergraduate,Medical,78.46,33,Yes
SID224,Aarav,,Female,Ahmedabad,School_6,Primary,,73.94,59,Yes
SID225,Rohan,11.0,Male,Mumbai,School_90,Primary,,69.06,39,No
SID226,Rohan,9.0,Female,Pune,School_30,Secondary,,52.58,60,No
SID227,Aarav,22.0,Others,Kolkata,School_82,Secondary,,98.27,32,No
SID228,Priya,23.0,Male,Pune,School_42,Primary,,82.35,47,No
SID229,Simran,8.0,Male,Kolkata,School_16,Secondary,,45.12,27,No
SID230,Rohan,21.0,Female,Pune,School_41,Higher Secondary,Medical,48.4,43,Yes
SID231,Aarav,9.0,Female,Hyderabad,School_100,Primary,,72.61,23,Yes
SID232,Ishita,15.0,Others,Ahmedabad,School_75,Higher Secondary,Medical,67.48,28,No
SID233,Aditya,12.0,Female,Delhi,School_30,Higher Secondary,Science,53.25,48,Yes
SID234,Priya,23.0,Others,Lucknow,School_6,Higher Secondary,Arts,95.89,45,No
SID235,Priya,11.0,Others,Lucknow,School_94,Primary,,43.04,46,Yes
SID236,Rohan,6.0,Male,Lucknow,School_96,Secondary,,97.63,56,No
SID237,Pooja,17.0,Male,Mumbai,School_50,Secondary,,49.52,20,Noo
SID238,Pooja,15.0,Others,Ahmedabad,School_22,Secondary,,99.53,20,No
SID239,Neha,21.0,Female,Jaipur,School_14,Primary,,79.48,34,No
SID240,Ishita,11.0,Male,Pune,School_77,Postgraduate,Medical,50.39,53,Yes
SID241,Aditya,14.0,Male,Chennai,School_23,Secondary,,92.64,33,No
SID242,Rohan,23.0,Male,Pune,School_36,Primary,,87.52,56,Yes
SID243,Rohan,20.0,Male,Kolkata,School_68,Primary,,99.36,52,No
SID244,Aditya,19.0,Female,Chennai,School_10,Higher Secondary,Commerce,85.64,50,Yes
SID245,Karan,16.0,Others,Pune,School_81,Undergraduate,Engineering,60.22,27,Yes
SID246,Ishita,12.0,Female,Lucknow,School_30,Postgraduate,Arts,37.79,44,Yes
SID247,Aditya,15.0,Male,Ahmedabad,School_93,Secondary,,68.24,24,Yes
SID248,Aarav,21.0,Others,Chennai,School_74,Higher Secondary,Arts,77.5,48,No
SID249,Ishita,15.0,Othrs,Chennai,School_19,Higher Secondary,Commerce,86.77,48,Yes
SID250,Priya,17.0,Female,Lucknow,School_39,Primary,,90.91,50,No
SID251,Aryan,21.0,Male,Jaipur,School_18,Postgraduate,Commerce,43.98,44,No
SID252,Karan,16.0,Others,Bangalore,School_67,Undergraduate,Medical,86.66,53,No
SID253,Neha,14.0,Others,Bangalore,School_83,Postgraduate,Commerce,42.88,36,No
SID254,Priya,17.0,Female,Hyderabad,School_53,Secondary,,54.82,46,Yes
SID255,Aditya,24.0,Female,Hyderabad,School_43,Secondary,,73.11,27,No
SID256,Priya,6.0,Male,Kolkata,School_8,Postgraduate,Medical,39.73,25,Yes
SID257,Simran,17.0,Others,Ahmedabad,School_75,Undergraduate,Engineering,45.33,33,Yes
SID258,Priya,20.0,Female,Jaipur,School_73,Higher Secondary,Engineering,87.45,26,Yes
SID259,Ishita,11.0,Female,Hyderabad,School_78,Undergraduate,Commerce,44.59,50,Yes
SID260,Aryan,19.0,Others,Chennai,School_82,Higher Secondary,Engineering,82.33,28,No
SID261,Pooja,12.0,Female,Ahmedabad,School_91,Postgraduate,Arts,36.83,31,No
SID262,Aryan,6.0,Male,Kolkata,School_65,Postgraduate,Medical,62.33,57,No
SID263,Aditya,13.0,Male,Pune,School_88,Higher Secondary,Arts,85.83,56,Yes
SID264,Pooja,13.0,Male,Bangalore,School_42,Secondary,,42.97,36,No
SID265,Priya,12.0,Female,Lucknow,School_45,Postgraduate,Commerce,92.93,53,Yes
SID266,Rohan,6.0,Others,Bangalore,School_59,Postgraduate,Medical,75.73,39,Yes
SID267,Pooja,23.0,Female,Kolkata,School_86,Higher Secondary,Science,61.68,46,Yes
SID268,Aryan,7.0,Male,Delhi,School_79,Secondary,,64.98,22,Yes
SID269,Aryan,17.0,Female,Ahmedabad,School_64,Postgraduate,Commerce,53.52,41,Yes
SID270,Rohan,17.0,Male,Hyderabad,School_45,Higher Secondary,Engineering,82.34,32,Yes
SID271,Aarav,12.0,Male,Lucknow,School_52,Secondary,,53.23,21,No
SID272,Karan,12.0,Others,Ahmedabad,School_16,Secondary,,63.69,21,Yes
SID273,Rohan,15.0,Male,Bangalore,School_90,Secondary,,,57,Yes
SID274,Karan,,Female,Bangalore,School_2,Secondary,,69.33,26,No
SID275,Ishita,23.0,Others,Mumbai,School_48,Primary,,86.01,60,No
SID276,Aryan,22.0,Male,Delhi,School_15,Primary,,47.1,51,Yes
SID277,Aditya,,Others,Ahmedabad,School_28,Primary,,60.77,27,Yes
SID278,Aryan,,Male,Hyderabad,School_57,Secondary,,79.87,37,Yes
SID279,Aarav,16.0,Others,Hyderabad,School_46,Postgraduate,Engineering,38.03,25,Yes
SID280,Pooja,24.0,Others,Chennai,School_28,Postgraduate,Medical,97.25,24,No
SID281,Pooja,15.0,Others,Mumbai,School_54,Primary,,37.57,41,No
SID282,Karan,9.0,Female,Ahmedabad,School_55,Undergraduate,Medical,36.16,60,No
SID283,Rohan,24.0,Others,Kolkata,School_23,Postgraduate,Arts,70.63,39,No
SID284,Priya,10.0,Female,Bangalore,School_92,Primary,,76.4,48,No
SID285,Ishita,8.0,Others,Bangalore,School_42,Postgraduate,Arts,81.66,20,Yes
SID286,Aryan,22.0,Male,Mumbai,School_22,Primary,,40.43,26,Yes
SID287,Simran,16.0,Others,Jaipur,School_93,Postgraduate,Arts,58.72,39,No
SID288,Karan,6.0,Others,Delhi,School_37,Postgraduate,Commerce,83.56,58,Yes
SID289,Neha,18.0,Female,Ahmedabad,School_18,Secondary,,98.85,55,Yes
SID290,Aryan,23.0,Others,Ahmedabad,School_50,Postgraduate,Commerce,51.49,60,Yes
SID291,Aarav,22.0,Male,Bangalore,School_47,Undergraduate,Medical,58.51,26,No
SID292,Priya,23.0,Female,Delhi,School_67,Postgraduate,Engineering,43.43,56,No
SID293,Ishita,10.0,Female,Delhi,School_64,Primary,,36.12,60,No
SID294,Priya,16.0,Female,Lucknow,School_48,Undergraduate,Medical,77.66,56,No
SID295,Aarav,21.0,Others,Hyderabad,School_25,Higher Secondary,Commerce,43.76,52,Yes
SID296,Aryan,14.0,Femle,Pune,School_39,Higher Secondary,Arts,92.09,20,Yes
SID297,Karan,14.0,Others,Mumbai,School_74,Undergraduate,Engineering,55.37,22,Yes
SID298,Priya,23.0,Male,Hyderabad,School_72,Postgraduate,Science,38.39,51,Yes
SID299,Aarav,8.0,Female,Pune,School_90,Postgraduate,Arts,89.93,22,Yes
SID300,Karan,21.0,Male,Chennai,School_59,Undergraduate,Engineering,71.37,31,Yes
SID301,Priya,17.0,Male,Hyderabad,School_36,Higher Secondary,Science,89.43,28,No
SID302,Aditya,18.0,Others,Ahmedabad,School_30,Higher Secondary,Commerce,35.42,44,Yes
SID303,Aarav,15.0,Female,Jaipur,School_29,Postgraduate,Arts,91.68,31,Yes
SID304,Rohan,6.0,Others,Kolkata,School_92,Postgraduate,Arts,40.44,41,Yes
SID305,Simran,7.0,Male,Chennai,School_85,Postgraduate,Science,75.68,44,Yes
SID306,Pooja,18.0,Others,Pune,School_50,Postgraduate,Engineering,41.66,26,Yes
SID307,Neha,12.0,Others,Jaipur,School_33,Undergraduate,Engineering,99.0,53,Yes
SID308,Aryan,16.0,Male,Delhi,School_46,Postgraduate,Science,81.27,45,No
SID309,Priya,9.0,Others,Kolkata,School_71,Secondary,,80.65,59,No
SID310,Simran,11.0,Female,Kolkata,School_93,Postgraduate,Arts,71.46,57,No
SID311,Rohan,19.0,Female,Mumbai,School_73,Undergraduate,Engineering,67.38,26,No
SID312,Priya,8.0,Female,Delhi,School_30,Higher Secondary,Science,49.03,39,Yes
SID313,Aarav,18.0,Female,Mumbai,School_84,Postgraduate,Science,74.65,32,Yes
SID314,Aditya,13.0,Male,Ahmedabad,School_49,Postgraduate,Arts,53.16,48,No
SID315,Ishita,6.0,Others,Chennai,School_4,Primary,,90.22,40,No
SID316,Rohan,20.0,Mle,Jaipur,School_64,Secondary,,62.54,27,No
SID317,Aarav,16.0,Female,Ahmedabad,School_1,Primary,,67.2,35,No
